title,year,summary,genre,runtime,certificate,directors,actors,rating,votes,gross
Tangerine,2015,A hooker tears through Tinseltown on Christmas Eve searching for the pimp who broke her heart.,"Comedy, Crime, Drama",88,R,Sean Baker,"Kitana Kiki Rodriguez, Mya Taylor, Karren Karagulian, Mickey O'Hagan",7.1,29521,0.70
A Christmas Carol,1951,"Ebenezer Scrooge, a curmudgeonly, miserly businessman, has no time for sentimentality and largely views Christmas as a waste of time. However, this Christmas Eve he will be visited by three spirits who will show him the errors of his ways.","Drama, Family, Fantasy",86,TV-PG,Brian Desmond Hurst,"Alastair Sim, Jack Warner, Kathleen Harrison, Mervyn Johns",8.1,21211,null
The Man Who Came to Dinner,1942,An acerbic critic wreaks havoc when a hip injury forces him to move in with a Midwestern family.,"Comedy, Romance",112,G,William Keighley,"Bette Davis, Ann Sheridan, Monty Woolley, Richard Travis",7.6,7354,null
Go,1999,The aftermath of a drug deal as told from three different points of view.,"Comedy, Crime",102,R,Doug Liman,"Sarah Polley, Jay Mohr, Scott Wolf, Taye Diggs",7.2,70223,16.84
Dead of Night,1945,"The guests invited to weekend in the country share their supernatural stories, beginning with Walter Craig , who senses impending doom as his half-remembered recurring dream turns into reality.","Drama, Horror",77,Approved,"Alberto Cavalcanti, Charles Crichton, Basil Dearden, Robert Hamer","Mervyn Johns, Michael Redgrave, Roland Culver, Mary Merrall",7.6,12094,null
Holiday Inn,1942,"At an inn which is open only on holidays, a crooner and a hoofer vie for the affections of a beautiful up-and-coming performer.","Comedy, Drama, Music",100,Passed,"Mark Sandrich, Robert Allen","Bing Crosby, Fred Astaire, Marjorie Reynolds, Virginia Dale",7.4,14129,8.18
It Happened on Fifth Avenue,1947,Two homeless men move into a mansion while its owners are wintering in the South.,"Comedy, Music, Romance",116,Passed,Roy Del Ruth,"Don DeFore, Ann Harding, Charles Ruggles, Victor Moore",7.6,4188,null
Joyeux Noel,2005,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.","Drama, History, Music",116,PG-13,Christian Carion,"Diane Kruger, Benno Fürmann, Guillaume Canet, Natalie Dessay",7.7,28849,1.05
The Meaning of Life,1983,The comedy team takes a look at life in all of its stages in their own uniquely silly way.,"Comedy, Musical",107,R,"Terry Jones, Terry Gilliam","John Cleese, Terry Gilliam, Eric Idle, Terry Jones",7.5,117359,14.93
Stalag 17,1953,"After two Americans are killed while escaping from a German P.O.W. camp in World War II, the barracks black marketeer, J.J. Sefton, is suspected of being an informer.","Comedy, Drama, War",120,Not Rated,Billy Wilder,"William Holden, Don Taylor, Otto Preminger, Robert Strauss",8.0,54366,null
Scrooge,1970,"A musical retelling of Charles Dickens' classic novel about an old bitter miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.","Drama, Family, Fantasy",113,G,Ronald Neame,"Albert Finney, Alec Guinness, Edith Evans, Kenneth More",7.5,9906,3.70
The Bishop's Wife,1947,A debonair angel comes to Earth to help an Episcopalian bishop and his wife in their quest to raise money for the new church.,"Comedy, Drama, Fantasy",109,Not Rated,Henry Koster,"Cary Grant, Loretta Young, David Niven, Monty Woolley",7.6,16034,null
Tokyo Godfathers,2003,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.","Animation, Adventure, Comedy",92,PG-13,Satoshi Kon,"Tôru Emori, Yoshiaki Umegaki, Aya Okamoto, Shôzô Îzuka",7.8,34912,0.13
Au Revoir les Enfants,1987,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret.","Drama, War",104,PG,Louis Malle,"Gaspard Manesse, Raphael Fejtö, Francine Racette, Stanislas Carré de Malberg",8.0,32816,4.54
Wake in Fright,1971,"After a bad gambling bet, a schoolteacher is marooned in a town full of crazy, drunk, violent men who threaten to make him just as crazy, drunk, and violent.","Drama, Thriller",109,R,Ted Kotcheff,"Donald Pleasence, Gary Bond, Chips Rafferty, Sylvia Kay",7.7,11676,0.05
Christmas in Connecticut,1945,A food writer who has lied about being the perfect housewife must try to cover her deception when her boss and a returning war hero invite themselves to her home for a traditional family Christmas.,"Comedy, Romance",101,Not Rated,Peter Godfrey,"Barbara Stanwyck, Dennis Morgan, Sydney Greenstreet, Reginald Gardiner",7.4,8672,null
A Christmas Carol,1938,An elderly miser learns the error of his ways on Christmas Eve.,"Drama, Family, Fantasy",69,Passed,Edwin L. Marin,"Reginald Owen, Gene Lockhart, Kathleen Lockhart, Terry Kilburn",7.5,6737,null
A Christmas Wish in Hudson,2021,"Lori really needs a break for Christmas. When she sees Patrick Jacobs, a widowed firefighter from Hudson, Wisconsin on a reality cooking show, she feels a strong attraction and decides to take a shot at love, but she's not the only one.",Romance,90,null,Elizabeth Snoderly,"Alex Rinehart, Rib Hillis, Lexi Giovagnoli, Lauren Schuster",7.8,22,null
Metropolitan,1990,"A group of young upper-class Manhattanites are blithely passing through the gala debutante season, when an unusual outsider joins them and stirs them up.","Comedy, Drama, Romance",98,PG-13,Whit Stillman,"Carolyn Farina, Edward Clements, Chris Eigeman, Taylor Nichols",7.4,10784,2.94
Season of Love,2019,A queer lady holiday romantic comedy that follows the lives of three very different couples in dealing with their love lives in various loosely interrelated tales all set right before Christmas through New Years.,"Comedy, Romance",105,null,Christin Baker,"Dominique Provost-Chalkley, Sandra Mae Frank, Jessica Clark, Laur Allen",7.3,490,null
Female Trouble,1974,"A spoiled schoolgirl runs away from home, gets pregnant while hitch-hiking, and ends up as a fashion model for a pair of beauticians who like to photograph women committing crimes.","Comedy, Crime",89,NC-17,John Waters,"Divine, David Lochary, Mary Vivian Pearce, Mink Stole",7.2,8962,null
Holiday Affair,1949,A young widow is torn between a boring attorney and a romantic ne'er-do-well.,"Comedy, Drama, Romance",87,Approved,Don Hartman,"Robert Mitchum, Janet Leigh, Wendell Corey, Gordon Gebert",7.1,4979,null
C.R.A.Z.Y.,2005,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values.","Comedy, Drama",129,Not Rated,Jean-Marc Vallée,"Michel Côté, Marc-André Grondin, Danielle Proulx, Émile Vallée",7.9,32124,null
Meet John Doe,1941,"A penniless drifter is recruited by an ambitious columnist to impersonate a non-existent person who said he'd be committing suicide as a protest, and a political movement begins.","Comedy, Drama, Romance",122,Passed,Frank Capra,"Gary Cooper, Barbara Stanwyck, Edward Arnold, Walter Brennan",7.6,12994,null
