title,year,summary,genre,runtime,certificate,directors,actors,rating,votes,gross
I'll Be Seeing You,1944,A soldier suffering from combat fatigue meets a young woman on Christmas furlough from prison and their mutual loneliness blossoms into romance.,"Drama, Family, Romance",85,Approved,"William Dieterle, George Cukor","Ginger Rogers, Joseph Cotten, Shirley Temple, Spring Byington",7.2,2151,null
All Mine to Give,1957,An immigrant family in 1850's Wisconsin prospers until tragedy strikes.,"Drama, Family, Romance",103,Approved,Allen Reisner,"Glynis Johns, Cameron Mitchell, Rex Thompson, Patty McCormack",7.1,1270,null
The Perfect Gift,2009,"A spoiled schoolgirl, her overworked executive mother, and a disillusioned young minister each receives an uplifting message about friendship, commitment, and the truest meaning of Christmas from a friendly, but mysterious drifter.",Drama,89,Not Rated,Jefferson Moore,"Jefferson Moore, Christina Fougnie, Matt Wallace, Tom Luce",7.0,411,null
Lost Christmas,2011,"Urban fairytale set in Manchester. A series of tragic events that blight a young boy's life are reversed one Christmas Eve, giving him and those around him the happy ending that they were destined to have.",Drama,89,PG,John Hay,"Eddie Izzard, Larry Mills, Jason Flemyng, Geoffrey Palmer",7.2,1339,null
The Forgotten Carols,2020,"Uncle John recounts the story of Christ's birth to Connie Lou through story and song. See Connie Lou discover what the world has forgotten about Christmas, ultimately opening her heart to the joy of this special season.",Musical,130,null,Christy Summerhays,"Roger Dunbar, Gili Getz, Dave Martin, Jeff McLean",8.0,48,null
Stuffings,2021,A self obsessed social media celebrity couple camp out in the Adelaide Hills on Christmas Eve only to stumble onto a community hiding a secret tradition to protect the 25th of December.,"Comedy, Horror",79,null,Mathew J. Wilkinson,"Kathleen Halligan, Daniel Moody, Isabella Robinson, Ognjen Trisic",7.5,14,null
Echo,2019,"Everyday life in Iceland around Christmas time: 56 vignettes full of joy, sorrow and thought-provoking situations.",Drama,79,Not Rated,Rúnar Rúnarsson,"Sigurmar Albertsson, Bent Kingo Andersen, Sif Arnarsdóttir, Ari Arnarson",7.1,1313,null
Phantom Owl Forest,2018,"""Eia's Christmas at Phantom Owl Farm"" is about a 10-year-old girl Eia who, due to many coincidences, has to spend her Christmas break at a Southern-Estonian farm called Phantom Owl Farm. ... See full summary »",Family,95,null,Anu Aun,"Paula Rits, Siim Oskar Ots, Liis Lemsalu, Jaan Rekkor",7.6,432,null
Evergreen (I),2019,"Over a romantic Christmas weekend, a young couple retreats to a Colorado cabin, where their relationship is tested by haunted pasts and the sobering present.",Drama,96,Not Rated,Joe Duca,"Olivia Grace Applegate, David Bianchi, Tanner Kalina, Amanda Maddox",7.4,76,null
Greyson Family Christmas,2019,Activist liberal progressive law student Maya brings her new boyfriend home for the holidays-- neglecting to tell her family that he's - well - white. Guess who's coming to Christmas dinner?,"Comedy, Family, Romance",90,null,Lisa France,"Mason Beauchamp, Brett Beoubay, Bonita Brisker, Brandon Gilpin",7.6,43,null
